TypeID,StationID,Type,OrderID,Price,Total,Remaining
34,60003760,"Sell",7314262945,4.3,1280000000,1273053722
34,60003760,"Sell",7354589458,3.92,200000000,197404985
34,60003760,"Sell",7342338396,5.2,10,10
34,60003760,"Sell",7332739221,4.07,100131071,67277725
34,60003760,"Sell",7314147767,3.96,30011758,30001885
34,60003760,"Sell",7325994881,55000.0,2095,2095
34,60003760,"Sell",7331753800,4.31,160000000,160000000
34,60003760,"Sell",7333871226,4.05,245787,245787
34,60003760,"Sell",7341077586,3.96,22241182,22241182
34,60003760,"Sell",7353784392,6.0,731046,731046
34,60003760,"Sell",7355573633,3.81,1613415801,477614537
34,60003760,"Sell",7338690632,395.0,51135,51135
34,60003760,"Sell",7330758587,4.09,3365950,3365950
34,60003760,"Sell",7354780987,3.91,7649923,7649923
34,60003760,"Sell",7328619688,4.09,85738828,85738828
34,60003760,"Sell",7356158857,3.85,3529422,3529422
34,60003760,"Sell",7343181731,4.0,11200,11200
34,60003760,"Sell",7342544630,5.0,73749,73749
34,60003760,"Sell",7342337976,5.0,10,10
34,60003760,"Sell",7341485755,4.03,6666,6666
34,60003760,"Sell",7334377079,4.04,973150,973150
34,60003760,"Sell",7354451502,3.93,267308680,267308680
34,60003760,"Sell",7340866774,3.99,5500000,5500000
34,60003760,"Sell",7319279271,4.19,6400000,6400000
34,60003760,"Sell",7353459800,4.0,77609449,77609449
34,60003760,"Sell",7327009200,4.1,1873152839,532407384
34,60003760,"Sell",7333052175,4.07,861890384,861890384
34,60003760,"Sell",7355359326,3.84,135391201,135391201
34,60003760,"Sell",7321204126,4.13,372786885,313388751
34,60003760,"Sell",7331182440,4.09,115652090,115652090
34,60003760,"Sell",7345946210,4.0,133500,133500
34,60003760,"Sell",7348347638,4.0,12659834,12659834
34,60003760,"Sell",7356127406,3.81,1181100,1181100
34,60003760,"Sell",7345831946,4.0,118025,118025
34,60003760,"Sell",7351679236,4.32,6993153,6993153
34,60003760,"Sell",7350684448,4.0,11296190,11296190
34,60003760,"Sell",7314137009,5.29,151150452,139224921
34,60003760,"Sell",7354690837,3.94,11905263,11905263
34,60003760,"Sell",7317457680,4.22,515452,515452
34,60003760,"Sell",7340429413,4.04,180193,180193
34,60003760,"Sell",7314288103,4.27,17044857,16354377
34,60003760,"Sell",7331704675,4.97,170485633,170485633
34,60003760,"Sell",7328562480,4.09,110675840,8176212
34,60003760,"Sell",7355711425,3.85,192500,192500
34,60003760,"Sell",7319151040,4.19,443431145,132350973
34,60003760,"Sell",7354433738,3.84,932737526,89846565
34,60003760,"Sell",7329201318,4.09,6109500,6109500
34,60003760,"Sell",7345489351,4.0,4379724,4379724
34,60003760,"Sell",7355708522,3.85,3395246,3395246
34,60003760,"Sell",7354930499,3.9,3430329,3430329
34,60003760,"Sell",7355555280,3.82,100000000,100000000
34,60003760,"Sell",7355760725,3.81,21082467,21082467
34,60003760,"Sell",7338619013,3.97,874216005,172799396
34,60003760,"Sell",7350232113,4.0,550000,550000
34,60003760,"Sell",7348651705,4.08,877663,877663
34,60003760,"Sell",7325005796,4.25,1284467,1284467
34,60003760,"Sell",7354349211,3.96,5307188,5307188
34,60003760,"Sell",7333414947,4.06,144411072,144411072
34,60003760,"Sell",7353226895,4.0,25834818,25834818
34,60003760,"Sell",7354919357,3.86,360735079,343385974
34,60003760,"Sell",7331804915,4.08,1148383425,1103276726
34,60003760,"Sell",7348800282,4.2,5000000,5000000
34,60003760,"Sell",7355973311,3.89,2371374,2371374
34,60003760,"Sell",7338724710,4.2,30000,30000
34,60003760,"Sell",7330872506,4.09,107761447,107761447
34,60003760,"Sell",7317998951,4.2,3606708,3606708
34,60003760,"Sell",7326462661,4.19,6113500,6113500
34,60003760,"Sell",7347818839,4.5,6010053,6010053
34,60003760,"Sell",7337359911,4.0,61415202,61415202
34,60003760,"Sell",7318694157,4.29,17567902,17567902
34,60003760,"Sell",7354457139,4.5,731046,731046
34,60003760,"Sell",7314151920,5.03,34543456,34541651
34,60003760,"Sell",7340177982,4.5,6750,6750
34,60003760,"Sell",7355677742,4.14,1575319,1575319
