"TypeID","StationID","Type","High","Low","Average"
230,60008494,"Sell",189900,95.99,1463.35575462784
230,60011866,"Buy",76.04,1.01,44.5094518432953
230,60011866,"Sell",189900,110,861.079173882614
237,60001096,"Sell",177.2,177.2,177.2
237,60003760,"Buy",60.06,2,41.6294516724292
237,60003760,"Sell",13380,119,126.280275419481
237,60004588,"Buy",11,0.02,0.130492824158973
237,60004588,"Sell",298.9,109,152.860712738549
237,60005686,"Buy",10,10,10
237,60005686,"Sell",212,209.5,210.48320387165
237,60008494,"Buy",50,0.3,4.26503204046536
237,60008494,"Sell",79,50.01,75.3714349889939
237,60011866,"Buy",25.7,1.51,13.192
237,60011866,"Sell",169.9,138,146.070928286219
377,60001096,"Sell",116900,116900,116900
377,60003760,"Buy",8996,1154,3642.91866588648
377,60003760,"Sell",889900000,10990,54100.9913104594
377,60004588,"Buy",2889,2889,2889
377,60004588,"Sell",999900,11840,49188.3690280066
377,60005686,"Buy",10000,5205,7202.91666666667
377,60005686,"Sell",999900,35500,70686.1869240895
377,60008494,"Buy",8082,1777,3513.70720320142
377,60008494,"Sell",14990,14000,14680.5012461922
377,60011866,"Buy",5678,5250,5513.37609329446
377,60011866,"Sell",999000,44100,67209.5486111111
380,60001096,"Sell",340000,330000,334736.842105263
380,60003760,"Buy",207000,51000,158066.720183486
380,60003760,"Sell",919900,255000,278434.237288136
380,60004588,"Buy",198000,195400,196833.846153846
380,60004588,"Sell",466000,281100,409598.871331828
380,60005686,"Sell",371000,296000,364834.956521739
380,60006526,"Sell",497500,497500,497500
380,60008494,"Buy",202200,127800,161021.715817694
380,60008494,"Sell",4308000,389400,1016761.25984252
380,60011866,"Buy",198900,50000,106887.104247104
380,60011866,"Sell",497700,492700,495651.055900621
393,60001096,"Buy",997,997,997
393,60003760,"Buy",17620,17500,17606.8642168945
393,60003760,"Sell",199100,41950,56478.2776438167
393,60004588,"Buy",10,10,10
393,60004588,"Sell",38850,37900,38185
393,60005686,"Buy",2697,2697,2697
